"name","id","active_rosters","drafted_by","position","years_exp","starts","benched","total_points","started_points","drafted_round","sleeper_id"
"Michael Gallup",4036348,"For Trevor And Ever Amon,Let Russ Cook Deebo's Nutz","provolove69","WR",4,1,6,18.6,0,15,"5038"
"Jameson Williams",4426388,"For Trevor And Ever Amon,The Tiger  King","NA","WR",-1,0,5,10.6,0,0,"0000"
"Broncos D/ST",-16007,"For Trevor And Ever Amon,St Charles 69ers,Let Russ Cook Deebo's Nutz","NA","D/ST",-1,5,0,37,37,0,"0000"
"Kyler Murray",3917315,"La La Land","Nserrrr","QB",3,11,3,200.52,200.52,1,"5849"
"CeeDee Lamb",4241389,"La La Land","Nserrrr","WR",2,13,1,173.7,173.7,2,"6786"
"Mike Evans",16737,"La La Land","Nserrrr","WR",8,11,3,128,113.9,3,"2216"
"James Conner",3045147,"La La Land","Nserrrr","RB",5,6,8,126.6,76.4,4,"4137"
"Breece Hall",4427366,"La La Land,St Charles 69ers","Nserrrr","RB",0,2,12,105.6,32.3,5,"8155"
"Allen Robinson II",16799,"La La Land,Let Russ Cook Deebo's Nutz","Nserrrr","WR",8,0,6,35.4,0,6,"1992"
"Ja'Marr Chase",4362628,"La La Land","Nserrrr","WR",1,9,5,154.9,154.9,7,"7564"
"Dameon Pierce",4360238,"La La Land","Nserrrr","RB",0,9,5,151.4,117.3,8,"8129"
"Jameis Winston",2969939,"La La Land,The Tiger  King","Nserrrr","QB",7,3,1,43.92,43.92,9,"2306"
"Rhamondre Stevenson",4569173,"La La Land","Nserrrr","RB",1,10,4,171.7,139,10,"7611"
"Christian Kirk",3895856,"La La Land","Nserrrr","WR",4,5,9,161.6,79.7,11,"4950"
"Dawson Knox",3930086,"La La Land,JC's cursed Interceptors","Nserrrr","TE",3,7,4,51.1,37.6,12,"5906"
"Albert Okwuegbunam",4035115,"La La Land","Nserrrr","TE",2,0,2,5.8,0,13,"6843"
"George Pickens",4426354,"La La Land,The Tiger  King","Nserrrr","WR",0,0,13,85.1,0,14,"8137"
"Saints D/ST",-16018,"La La Land,Let Russ Cook Deebo's Nutz,Slant Boys For Life","Nserrrr","D/ST",0,5,0,21,21,16,"NO"
"Eagles D/ST",-16021,"La La Land","NA","D/ST",-1,8,3,92,81,0,"0000"
"Aaron Jones",3042519,"Rainbow sHERBERT","willydawg71088","RB",5,11,3,177.5,137.2,1,"4199"
"Dak Prescott",2577417,"Rainbow sHERBERT","willydawg71088","QB",6,8,6,127.28,127.28,2,"3294"
"Javonte Williams",4361579,"Rainbow sHERBERT","willydawg71088","RB",1,3,2,34,26.5,3,"7588"
"Leonard Fournette",3115364,"Rainbow sHERBERT","willydawg71088","RB",5,10,4,151.9,132.3,4,"3969"
"Mike Williams",3045138,"Rainbow sHERBERT","willydawg71088","WR",5,8,6,108.6,93.1,5,"4068"
"Marquise Brown",4241372,"Rainbow sHERBERT","willydawg71088","WR",3,6,8,101,75.6,6,"5848"
"Justin Herbert",4038941,"Rainbow sHERBERT","willydawg71088","QB",2,13,1,230.54,230.54,7,"6797"
"T.J. Hockenson",4036133,"Rainbow sHERBERT","willydawg71088","TE",3,10,4,124.7,68,8,"5844"
"Kenneth Walker III",4567048,"Rainbow sHERBERT","willydawg71088","RB",0,6,8,140,97,9,"8151"
"DeVonta Smith",4241478,"Rainbow sHERBERT","willydawg71088","WR",1,8,6,138.5,73.5,10,"7525"
