"name","id","active_rosters","drafted_by","position","years_exp","starts","benched","total_points","started_points","drafted_round","sleeper_id"
"J.K. Dobbins",4241985,"St Charles 69ers,Let Russ Cook Deebo's Nutz","DeMo5","RB",2,2,6,49.2,5.9,6,"6806"
"Gabe Davis",4243537,"St Charles 69ers","DeMo5","WR",2,3,11,124.6,42.5,7,"6943"
"AJ Dillon",4239934,"St Charles 69ers","DeMo5","RB",2,12,2,107.8,105,8,"6828"
"Zach Wilson",4361259,"St Charles 69ers","DeMo5","QB",1,1,9,71.58,14.6,9,"7538"
"Tony Pollard",3916148,"St Charles 69ers","DeMo5","RB",3,11,3,203.8,183,10,"5967"
"Zach Ertz",15835,"St Charles 69ers","DeMo5","TE",9,10,3,92.1,92.1,11,"1339"
"Daniel Jones",3917792,"St Charles 69ers","DeMo5","QB",3,3,11,222.16,66.94,12,"5870"
"Skyy Moore",4430191,"St Charles 69ers","DeMo5","WR",0,0,7,9,0,13,"8168"
"Hunter Henry",3046439,"St Charles 69ers","DeMo5","TE",6,0,11,42,0,14,"3214"
"Packers D/ST",-16009,"St Charles 69ers","DeMo5","D/ST",0,9,2,59,42,15,"GB"
"Ronald Jones",3912550,"St Charles 69ers","DeMo5","RB",4,0,2,0,0,16,"5052"
"Austin Ekeler",3068267,"JC's cursed Interceptors","tink2020","RB",5,13,1,246.2,246.2,1,"4663"
"Joe Mixon",3116385,"JC's cursed Interceptors","tink2020","RB",5,11,3,172,172,2,"4018"
"Derek Carr",16757,"JC's cursed Interceptors","tink2020","QB",8,13,1,193.48,193.48,3,"2028"
"DK Metcalf",4047650,"JC's cursed Interceptors","tink2020","WR",3,12,2,154.9,136.5,4,"5846"
"Darren Waller",2576925,"JC's cursed Interceptors,La La Land","tink2020","TE",7,5,8,31.5,31.5,5,"2505"
"Jerry Jeudy",4241463,"JC's cursed Interceptors","tink2020","WR",2,4,10,115.8,35.2,6,"6783"
"Darnell Mooney",4040655,"JC's cursed Interceptors,Golaso King Seabass,For Trevor And Ever Amon","tink2020","WR",2,1,9,65,10.9,7,"7090"
"Amari Cooper",2976499,"JC's cursed Interceptors","tink2020","WR",7,10,4,158.9,115.5,8,"2309"
"Damien Harris",3925347,"JC's cursed Interceptors","tink2020","RB",3,1,10,68.7,1.7,9,"5890"
"Matthew Stafford",12483,"JC's cursed Interceptors","tink2020","QB",13,8,4,108.38,98.06,10,"421"
"Robert Woods",15880,"JC's cursed Interceptors","tink2020","WR",9,0,1,1.8,0,11,"1352"
"James Robinson",4052042,"JC's cursed Interceptors","tink2020","RB",2,3,9,82.1,36.8,12,"6955"
"Robert Tonyan",2975674,"JC's cursed Interceptors,Golaso King Seabass","tink2020","TE",5,3,5,50.5,23.1,14,"4602"
"Cowboys D/ST",-16006,"JC's cursed Interceptors","tink2020","D/ST",0,11,3,135,122,15,"DAL"
"Travis Etienne Jr.",4239996,"JC's cursed Interceptors","tink2020","RB",1,8,6,137.3,93.6,16,"7543"
"Bengals D/ST",-16004,"JC's cursed Interceptors,For Trevor And Ever Amon,Let Russ Cook Deebo's Nutz","NA","D/ST",-1,6,0,21,21,0,"0000"
"Najee Harris",4241457,"Golaso King Seabass","GolasoKingSeabass","RB",1,11,3,143.06,107.56,1,"7528"
"Trey Lance",4383351,"Golaso King Seabass","GolasoKingSeabass","QB",1,1,1,12.46,9.96,2,"7610"
"Mark Andrews",3116365,"Golaso King Seabass","GolasoKingSeabass","TE",4,12,2,128.9,128.9,3,"5012"
"Cooper Kupp",2977187,"Golaso King Seabass,For Trevor And Ever Amon","GolasoKingSeabass","WR",5,9,5,163.9,163.9,4,"4039"
"David Montgomery",4035538,"Golaso King Seabass","GolasoKingSeabass","RB",3,8,6,123,73,5,"5892"
"JuJu Smith-Schuster",3120348,"Golaso King Seabass,La La Land","GolasoKingSeabass","WR",5,7,7,122.7,46.9,6,"4040"
"Antonio Gibson",4360294,"Golaso King Seabass","GolasoKingSeabass","RB",2,7,7,135.1,68.8,7,"6945"
"Cordarrelle Patterson",15807,"Golaso King Seabass,La La Land","GolasoKingSeabass","RB",9,4,9,102.6,35.3,8,"1535"
"Adam Thielen",16460,"Golaso King Seabass","GolasoKingSeabass","WR",9,4,10,122,44.3,9,"1689"
"Allen Lazard",3128390,"Golaso King Seabass","GolasoKingSeabass","WR",4,6,8,114.5,66.5,10,"5185"
