"id","team","week","position","name","playerId","points","starter"
"pl3918298wk6",7,6,"QB","Josh Allen",3918298,26.36,true
"pl4036348wk6",7,6,"WR","Michael Gallup",4036348,2.8,false
"pl3122976wk6",7,6,"RB","Jeff Wilson Jr.",3122976,0.5,true
"pl4361432wk6",7,6,"WR","Romeo Doubs",4361432,4.1,true
"pl2576414wk6",7,6,"RB","Raheem Mostert",2576414,5.3,true
"pl3924365wk6",7,6,"TE","Hayden Hurst",3924365,3.6,true
"pl3128724wk6",7,6,"WR","Isaiah McKenzie",3128724,1.9,true
"pl-16004wk6",7,6,"D/ST","Bengals D/ST",-16004,0,true
"pl3917315wk6",8,6,"QB","Kyler Murray",3917315,14.88,true
"pl4241389wk6",8,6,"WR","CeeDee Lamb",4241389,10.2,true
"pl16737wk6",8,6,"WR","Mike Evans",16737,6.2,true
"pl3045147wk6",8,6,"RB","James Conner",3045147,0,false
"pl4427366wk6",8,6,"RB","Breece Hall",4427366,19.1,true
"pl4362628wk6",8,6,"WR","Ja'Marr Chase",4362628,28.7,true
"pl4360238wk6",8,6,"RB","Dameon Pierce",4360238,0,false
"pl4569173wk6",8,6,"RB","Rhamondre Stevenson",4569173,23.1,true
"pl3895856wk6",8,6,"WR","Christian Kirk",3895856,8.8,false
"pl3930086wk6",8,6,"TE","Dawson Knox",3930086,11.2,true
"pl4426354wk6",8,6,"WR","George Pickens",4426354,4.3,false
"pl15864wk6",8,6,"QB","Geno Smith",15864,12.68,true
"pl-16021wk6",8,6,"D/ST","Eagles D/ST",-16021,7,true
"pl3910544wk6",8,6,"RB","Joshua Kelley",3910544,0,false
"pl3120348wk6",8,6,"WR","JuJu Smith-Schuster",3120348,19.8,false
"pl-16017wk6",8,6,"D/ST","Patriots D/ST",-16017,13,false
"pl3042519wk6",9,6,"RB","Aaron Jones",3042519,5.9,true
"pl2577417wk6",9,6,"QB","Dak Prescott",2577417,0,false
"pl3115364wk6",9,6,"RB","Leonard Fournette",3115364,19.1,true
"pl3045138wk6",9,6,"WR","Mike Williams",3045138,2.7,true
"pl4241372wk6",9,6,"WR","Marquise Brown",4241372,9.3,true
"pl4038941wk6",9,6,"QB","Justin Herbert",4038941,8.42,true
"pl4036133wk6",9,6,"TE","T.J. Hockenson",4036133,0,false
"pl4567048wk6",9,6,"RB","Kenneth Walker III",4567048,18,false
"pl4241478wk6",9,6,"WR","DeVonta Smith",4241478,12.9,false
"pl4045163wk6",9,6,"RB","Miles Sanders",4045163,13.7,true
"pl4361370wk6",9,6,"WR","Chris Olave",4361370,0,false
"pl4046692wk6",9,6,"WR","Chase Claypool",4046692,19.9,false
"pl-16027wk6",9,6,"D/ST","Buccaneers D/ST",-16027,4,true
"pl14876wk6",9,6,"QB","Ryan Tannehill",14876,0,false
"pl2573401wk6",9,6,"TE","Tyler Higbee",2573401,1.2,true
"pl4362887wk6",9,6,"QB","Justin Fields",4362887,18.4,true
"pl3139477wk6",10,6,"QB","Patrick Mahomes",3139477,19.62,true
"pl15847wk6",10,6,"TE","Travis Kelce",15847,15.2,true
"pl3929630wk6",10,6,"RB","Saquon Barkley",3929630,17,true
"pl3051392wk6",10,6,"RB","Ezekiel Elliott",3051392,15.1,false
"pl3121422wk6",10,6,"WR","Terry McLaurin",3121422,6.7,true
"pl4360939wk6",10,6,"WR","Rashod Bateman",4360939,0,false
"pl4047365wk6",10,6,"RB","Josh Jacobs",4047365,0,false
"pl3059915wk6",10,6,"RB","Kareem Hunt",3059915,1.2,true
"pl4426502wk6",10,6,"WR","Drake London",4426502,5.5,true
"pl4372016wk6",10,6,"WR","Jaylen Waddle",4372016,13.9,true
"pl3915511wk6",10,6,"QB","Joe Burrow",3915511,32.5,true
"pl4241474wk6",10,6,"RB","Brian Robinson Jr.",4241474,12,false
"pl4373626wk6",10,6,"RB","Tyler Allgeier",4373626,5.1,false
"pl4240703wk6",10,6,"QB","Kenny Pickett",4240703,8.28,false
"pl-16014wk6",10,6,"D/ST","Rams D/ST",-16014,10,true
"pl2468609wk6",10,6,"TE","Taysom Hill",2468609,4.54,false
"pl14881wk7",1,7,"QB","Russell Wilson",14881,0,false
"pl3116593wk7",1,7,"RB","Dalvin Cook",3116593,0,false
"pl4047646wk7",1,7,"WR","A.J. Brown",4047646,0,false
"pl3128429wk7",1,7,"WR","Courtland Sutton",3128429,3.8,false
"pl3117256wk7",1,7,"TE","Dalton Schultz",3117256,7.4,true
"pl4242214wk7",1,7,"RB","Clyde Edwards-Helaire",4242214,9.2,true
"pl3126486wk7",1,7,"WR","Deebo Samuel",3126486,6.9,true
"pl4040761wk7",1,7,"RB","Devin Singletary",4040761,0,false
"pl4035687wk7",1,7,"WR","Michael Pittman Jr.",4035687,6.8,true
"pl4048244wk7",1,7,"RB","Alexander Mattison",4048244,0,false
"pl2576980wk7",1,7,"QB","Marcus Mariota",2576980,12.06,true
"pl3125116wk7",1,7,"RB","D'Onta Foreman",3125116,15.5,true
"pl-16011wk7",1,7,"D/ST","Colts D/ST",-16011,9,true
"pl4036348wk7",1,7,"WR","Michael Gallup",4036348,0,true
"pl4361529wk7",1,7,"RB","Isiah Pacheco",4361529,4.3,false
"pl4258595wk7",1,7,"TE","Cole Kmet",4258595,4.2,true
"pl4040715wk7",2,7,"QB","Jalen Hurts",4040715,0,false
"pl2976212wk7",2,7,"WR","Stefon Diggs",2976212,0,false
"pl3116406wk7",2,7,"WR","Tyreek Hill",3116406,10.7,true
"pl4239993wk7",2,7,"WR","Tee Higgins",4239993,11.8,true
"pl4241479wk7",2,7,"QB","Tua Tagovailoa",4241479,15.94,true
"pl4241985wk7",2,7,"RB","J.K. Dobbins",4241985,0,false
"pl4243537wk7",2,7,"WR","Gabe Davis",4243537,0,false
"pl4239934wk7",2,7,"RB","AJ Dillon",4239934,1.5,true
"pl4361259wk7",2,7,"QB","Zach Wilson",4361259,7.24,false
"pl3916148wk7",2,7,"RB","Tony Pollard",3916148,11.9,true
"pl15835wk7",2,7,"TE","Zach Ertz",15835,5.1,true
"pl3917792wk7",2,7,"QB","Daniel Jones",3917792,28.78,true
"pl4430191wk7",2,7,"WR","Skyy Moore",4430191,-2,false
"pl3046439wk7",2,7,"TE","Hunter Henry",3046439,1.7,false
"pl-16009wk7",2,7,"D/ST","Packers D/ST",-16009,8,true
"pl2979843wk7",2,7,"RB","Kenyan Drake",2979843,0.5,true
"pl3068267wk7",3,7,"RB","Austin Ekeler",3068267,30.7,true
"pl3116385wk7",3,7,"RB","Joe Mixon",3116385,16.6,true
"pl16757wk7",3,7,"QB","Derek Carr",16757,13.54,true
"pl4047650wk7",3,7,"WR","DK Metcalf",4047650,1.7,true
"pl2576925wk7",3,7,"TE","Darren Waller",2576925,0,false
"pl4241463wk7",3,7,"WR","Jerry Jeudy",4241463,13.1,false
"pl2976499wk7",3,7,"WR","Amari Cooper",2976499,8.9,true
"pl3925347wk7",3,7,"RB","Damien Harris",3925347,1.5,false
"pl12483wk7",3,7,"QB","Matthew Stafford",12483,0,false
"pl4052042wk7",3,7,"RB","James Robinson",4052042,0,false
"pl2975674wk7",3,7,"TE","Robert Tonyan",2975674,4.7,true
"pl-16006wk7",3,7,"D/ST","Cowboys D/ST",-16006,19,true
"pl4239996wk7",3,7,"RB","Travis Etienne Jr.",4239996,18.4,true
"pl3121427wk7",3,7,"WR","Curtis Samuel",3121427,10.4,false
"pl2578570wk7",3,7,"QB","Jacoby Brissett",2578570,10.12,true
"pl15920wk7",3,7,"RB","Latavius Murray",15920,9.3,false
"pl4241457wk7",4,7,"RB","Najee Harris",4241457,9.5,true
"pl3116365wk7",4,7,"TE","Mark Andrews",3116365,0.4,true
"pl4035538wk7",4,7,"RB","David Montgomery",4035538,12.2,false
"pl4360294wk7",4,7,"RB","Antonio Gibson",4360294,15.2,false
"pl15807wk7",4,7,"RB","Cordarrelle Patterson",15807,0,false
"pl16460wk7",4,7,"WR","Adam Thielen",16460,0,false
"pl3128390wk7",4,7,"WR","Allen Lazard",3128390,8.5,true
"pl-16025wk7",4,7,"D/ST","49ers D/ST",-16025,-4,true
"pl2330wk7",4,7,"QB","Tom Brady",2330,11.7,true
"pl4035886wk7",4,7,"RB","Khalil Herbert",4035886,15.2,false
"pl4242873wk7",4,7,"RB","Eno Benjamin",4242873,21.3,true
"pl16760wk7",4,7,"QB","Jimmy Garoppolo",16760,16.32,true
"pl4040655wk7",4,7,"WR","Darnell Mooney",4040655,6.8,false
"pl3116165wk7",4,7,"WR","Chris Godwin",3116165,8,true
"pl4242335wk7",4,7,"RB","Jonathan Taylor",4242335,12,true
"pl3115306wk7",4,7,"WR","Josh Reynolds",3115306,1.3,false
"pl3117251wk7",5,7,"RB","Christian McCaffrey",3117251,7.2,true
"pl8439wk7",5,7,"QB","Aaron Rodgers",8439,15.76,true
"pl3128720wk7",5,7,"RB","Nick Chubb",3128720,17.7,true
"pl3121023wk7",5,7,"TE","Dallas Goedert",3121023,0,false
"pl3932905wk7",5,7,"WR","Diontae Johnson",3932905,7,true
"pl11237wk7",5,7,"QB","Matt Ryan",11237,9.92,true
"pl16731wk7",5,7,"WR","Brandin Cooks",16731,6.6,true
"pl4372414wk7",5,7,"WR","Elijah Moore",4372414,0,false
"pl4361411wk7",5,7,"TE","Pat Freiermuth",4361411,11.5,true
"pl2576434wk7",5,7,"RB","Melvin Gordon III",2576434,6,false
"pl2577327wk7",5,7,"WR","Tyler Lockett",2577327,8,true
"pl4569618wk7",5,7,"WR","Garrett Wilson",4569618,4.4,false
"pl4039359wk7",5,7,"RB","Darrell Henderson Jr.",4039359,0,false
"pl-16002wk7",5,7,"D/ST","Bills D/ST",-16002,0,false
"pl4262921wk7",5,7,"WR","Justin Jefferson",4262921,0,false
"pl-16015wk7",5,7,"D/ST","Dolphins D/ST",-16015,11,true
"pl3916387wk7",6,7,"QB","Lamar Jackson",3916387,10.7,true
"pl16800wk7",6,7,"WR","Davante Adams",16800,13.5,true
"pl3054850wk7",6,7,"RB","Alvin Kamara",3054850,14,true
"pl3040151wk7",6,7,"TE","George Kittle",3040151,18.8,true
"pl14880wk7",6,7,"QB","Kirk Cousins",14880,0,false
"pl4259545wk7",6,7,"RB","D'Andre Swift",4259545,0,false
"pl2976316wk7",6,7,"WR","Michael Thomas",2976316,0,false
"pl15795wk7",6,7,"WR","DeAndre Hopkins",15795,15.3,true
"pl3122840wk7",6,7,"QB","Deshaun Watson",3122840,0,false
"pl4240021wk7",6,7,"RB","Cam Akers",4240021,0,false
"pl2980453wk7",6,7,"RB","Jamaal Williams",2980453,6.8,true
"pl3123076wk7",6,7,"TE","David Njoku",3123076,10.6,true
"pl3916433wk7",6,7,"WR","Jakobi Meyers",3916433,10.4,false
"pl-16020wk7",6,7,"D/ST","Jets D/ST",-16020,6,true
"pl2565969wk7",6,7,"QB","Taylor Heinicke",2565969,14.44,true
"pl4241416wk7",6,7,"RB","Chuba Hubbard",4241416,14.3,false
"pl3043078wk7",7,7,"RB","Derrick Henry",3043078,15.3,true
"pl15818wk7",7,7,"WR","Keenan Allen",15818,2.1,false
"pl4360248wk7",7,7,"TE","Kyle Pitts",4360248,2.4,true
"pl3915416wk7",7,7,"WR","DJ Moore",3915416,16.1,false
"pl4360310wk7",7,7,"QB","Trevor Lawrence",4360310,18.7,true
"pl4374302wk7",7,7,"WR","Amon-Ra St. Brown",4374302,0.9,true
"pl3918298wk7",7,7,"QB","Josh Allen",3918298,0,false
"pl3122976wk7",7,7,"RB","Jeff Wilson Jr.",3122976,5.4,true
"pl4361432wk7",7,7,"WR","Romeo Doubs",4361432,0,false
"pl2576414wk7",7,7,"RB","Raheem Mostert",2576414,18.9,false
"pl-16004wk7",7,7,"D/ST","Bengals D/ST",-16004,6,true
"pl4360438wk7",7,7,"WR","Brandon Aiyuk",4360438,11.7,true
"pl3046779wk7",7,7,"QB","Jared Goff",3046779,1.52,true
"pl2977187wk7",7,7,"WR","Cooper Kupp",2977187,0,false
"pl3051926wk7",7,7,"RB","Gus Edwards",3051926,18.6,false
"pl3119195wk7",7,7,"RB","Chase Edmonds",3119195,1.7,true
"pl3917315wk7",8,7,"QB","Kyler Murray",3917315,17.16,true
"pl4241389wk7",8,7,"WR","CeeDee Lamb",4241389,8.6,true
"pl16737wk7",8,7,"WR","Mike Evans",16737,14.1,false
"pl3045147wk7",8,7,"RB","James Conner",3045147,0,false
"pl4427366wk7",8,7,"RB","Breece Hall",4427366,13.2,true
"pl4362628wk7",8,7,"WR","Ja'Marr Chase",4362628,29,true
"pl4360238wk7",8,7,"RB","Dameon Pierce",4360238,13.7,true
"pl4569173wk7",8,7,"RB","Rhamondre Stevenson",4569173,19.8,true
"pl3895856wk7",8,7,"WR","Christian Kirk",3895856,13.6,false
"pl3930086wk7",8,7,"TE","Dawson Knox",3930086,0,false
"pl4426354wk7",8,7,"WR","George Pickens",4426354,15.1,false
"pl15864wk7",8,7,"QB","Geno Smith",15864,13.1,true
