"pick_no","round_no","team_drafted_id","team_draft_user_name","picked_by","player_id","player_name","player_position","player_exp"
75,8,"471494369451438080","DeMo5","Comish11","6828","AJ Dillon","RB","2"
76,8,"461346738695827456","Nserrrr","Nserrrr","8129","Dameon Pierce","RB","0"
77,8,"601795389573627904","tink2020","tink2020","2309","Amari Cooper","WR","7"
78,8,"203653162899349504","FantasyGOATx3","FantasyGOATx3","1426","DeAndre Hopkins","WR","9"
79,8,"601879432004694016","mikeoc2891","mikeoc2891","4098","Kareem Hunt","RB","5"
80,8,"740422713507807232","drdadbod","drdadbod","7596","Elijah Moore","WR","1"
81,9,"740422713507807232","drdadbod","drdadbod","7600","Pat Freiermuth","TE","1"
82,9,"601879432004694016","mikeoc2891","mikeoc2891","8112","Drake London","WR","0"
83,9,"203653162899349504","FantasyGOATx3","FantasyGOATx3","5955","Hunter Renfrow","WR","3"
84,9,"601795389573627904","tink2020","tink2020","5890","Damien Harris","RB","3"
85,9,"461346738695827456","Nserrrr","Nserrrr","2306","Jameis Winston","QB","7"
86,9,"471494369451438080","DeMo5","DeMo5","7538","Zach Wilson","QB","1"
87,9,"471470166262149120","GolasoKingSeabass","GolasoKingSeabass","1689","Adam Thielen","WR","9"
88,9,"739690998808096768","provolove69","provolove69","5000","Chase Edmonds","RB","4"
89,9,"470085298420707328","Comish11","Comish11","5872","Deebo Samuel","WR","3"
90,9,"471492069110575104","willydawg71088","willydawg71088","8151","Kenneth Walker","RB","0"
91,10,"471492069110575104","willydawg71088","willydawg71088","7525","DeVonta Smith","WR","1"
92,10,"470085298420707328","Comish11","Comish11","6130","Devin Singletary","RB","3"
93,10,"739690998808096768","provolove69","Comish11","4984","Josh Allen","QB","4"
94,10,"471470166262149120","GolasoKingSeabass","GolasoKingSeabass","5185","Allen Lazard","WR","4"
95,10,"471494369451438080","DeMo5","DeMo5","5967","Tony Pollard","RB","3"
96,10,"461346738695827456","Nserrrr","Nserrrr","7611","Rhamondre Stevenson","RB","1"
97,10,"601795389573627904","tink2020","Comish11","421","Matthew Stafford","QB","13"
98,10,"203653162899349504","FantasyGOATx3","FantasyGOATx3","6803","Brandon Aiyuk","WR","2"
99,10,"601879432004694016","mikeoc2891","mikeoc2891","8135","Treylon Burks","WR","0"
100,10,"740422713507807232","drdadbod","drdadbod","2320","Melvin Gordon","RB","7"
101,11,"740422713507807232","drdadbod","drdadbod","2374","Tyler Lockett","WR","7"
102,11,"601879432004694016","mikeoc2891","Comish11","7526","Jaylen Waddle","WR","1"
103,11,"203653162899349504","FantasyGOATx3","FantasyGOATx3","7607","Michael Carter","RB","1"
104,11,"601795389573627904","tink2020","tink2020","1352","Robert Woods","WR","9"
