pick_no,round_no,team_drafted_id,team_draft_user_name,picked_by,player_id,player_name,player_position,player_exp
92,10,605551105107124224,GolasoKing,GolasoKing,3969,Leonard Fournette,RB,4
93,10,601795389573627904,tink2020,tink2020,421,Matthew Stafford,QB,12
94,10,470085298420707328,Comish11,Comish11,536,Antonio Brown,WR,11
95,10,601879432004694016,mikeoc2891,mikeoc2891,1049,Ryan Tannehill,QB,9
96,10,461346738695827456,Nserrrr,Nserrrr,5967,Tony Pollard,RB,2
97,10,471492069110575104,willydawg71088,autopick,4951,D.J. Chark,WR,3
98,10,471494369451438080,DeMo5,DeMo5,7591,Justin Fields,QB,0
99,10,203653162899349504,FantasyGOATx3,Comish11,5347,Nyheim Hines,RB,3
100,10,740422713507807232,drdadbod,drdadbod,2197,Brandin Cooks,WR,7
101,11,740422713507807232,drdadbod,drdadbod,4149,Jamaal Williams,RB,4
102,11,203653162899349504,FantasyGOATx3,Comish11,4036,Corey Davis,WR,4
103,11,471494369451438080,DeMo5,DeMo5,3157,Will Fuller,WR,5
104,11,471492069110575104,willydawg71088,Comish11,1825,Jarvis Landry,WR,7
105,11,461346738695827456,Nserrrr,Comish11,4881,Lamar Jackson,QB,3
106,11,601879432004694016,mikeoc2891,mikeoc2891,7526,Jaylen Waddle,WR,0
107,11,470085298420707328,Comish11,Comish11,6819,Michael Pittman,WR,1
108,11,601795389573627904,tink2020,tink2020,7090,Darnell Mooney,WR,1
109,11,605551105107124224,GolasoKing,GolasoKing,5022,Dallas Goedert,TE,3
110,11,739690998808096768,provolove69,provolove69,6814,Laviska Shenault,WR,1
111,12,739690998808096768,provolove69,provolove69,4962,Sony Michel,RB,3
112,12,605551105107124224,GolasoKing,GolasoKing,4068,Mike Williams,WR,4
113,12,601795389573627904,tink2020,tink2020,3271,Tyler Higbee,TE,5
114,12,470085298420707328,Comish11,Comish11,5987,Alexander Mattison,RB,2
115,12,601879432004694016,mikeoc2891,mikeoc2891,6770,Joe Burrow,QB,1
