"id","team","week","position","name","playerId","points","starter"
"pl3128720wk1",1,1,"RB","Nick Chubb",3128720,21.1,true
"pl3139477wk1",1,1,"QB","Patrick Mahomes",3139477,39.28,true
"pl15880wk1",1,1,"WR","Robert Woods",15880,10.9,true
"pl4047650wk1",1,1,"WR","DK Metcalf",4047650,14,true
"pl15818wk1",1,1,"WR","Keenan Allen",15818,14.5,true
"pl4036133wk1",1,1,"TE","T.J. Hockenson",4036133,21.7,true
"pl3912550wk1",1,1,"RB","Ronald Jones II",3912550,-0.6,true
"pl4240657wk1",1,1,"RB","Michael Carter",4240657,2.5,false
"pl3126486wk1",1,1,"WR","Deebo Samuel",3126486,27.4,false
"pl13934wk1",1,1,"WR","Antonio Brown",13934,21.2,true
"pl4035687wk1",1,1,"WR","Michael Pittman Jr.",4035687,4.4,false
"pl4048244wk1",1,1,"RB","Alexander Mattison",4048244,1.1,false
"pl4035170wk1",1,1,"WR","Marquez Callaway",4035170,1.9,false
"pl-16033wk1",1,1,"D/ST","Ravens D/ST",-16033,-1,true
"pl4046676wk1",1,1,"RB","Tony Jones Jr.",4046676,5.8,false
"pl2979477wk1",1,1,"RB","Tevin Coleman",2979477,2.4,false
"pl16800wk1",2,1,"WR","Davante Adams",16800,8.1,true
"pl15795wk1",2,1,"WR","DeAndre Hopkins",15795,23.3,true
"pl4045163wk1",2,1,"RB","Miles Sanders",4045163,15.3,true
"pl3116365wk1",2,1,"TE","Mark Andrews",3116365,3.5,true
"pl3059915wk1",2,1,"RB","Kareem Hunt",3059915,15.6,false
"pl8439wk1",2,1,"QB","Aaron Rodgers",8439,1.32,true
"pl2576414wk1",2,1,"RB","Raheem Mostert",2576414,2,true
"pl4239934wk1",2,1,"RB","AJ Dillon",4239934,3.1,false
"pl4372485wk1",2,1,"WR","Rondale Moore",4372485,8.8,false
"pl4362887wk1",2,1,"QB","Justin Fields",4362887,6.7,false
"pl3052876wk1",2,1,"WR","William Fuller V",3052876,0,false
"pl4036348wk1",2,1,"WR","Michael Gallup",4036348,5.6,true
"pl15072wk1",2,1,"WR","Marvin Jones Jr.",15072,16.2,false
"pl3895827wk1",2,1,"RB","Ty'Son Williams",3895827,16.9,true
"pl-16028wk1",2,1,"D/ST","Commanders D/ST",-16028,1,true
"pl4241479wk1",2,1,"QB","Tua Tagovailoa",4241479,18.18,false
"pl3116593wk1",3,1,"RB","Dalvin Cook",3116593,17.4,true
"pl3929630wk1",3,1,"RB","Saquon Barkley",3929630,3.2,true
"pl2976499wk1",3,1,"WR","Amari Cooper",2976499,32.4,true
"pl4360248wk1",3,1,"TE","Kyle Pitts",4360248,5.1,true
"pl2976212wk1",3,1,"WR","Stefon Diggs",2976212,11.4,true
"pl4039359wk1",3,1,"RB","Darrell Henderson Jr.",4039359,15.2,true
"pl2974858wk1",3,1,"WR","Kenny Golladay",2974858,8.4,false
"pl3120348wk1",3,1,"WR","JuJu Smith-Schuster",3120348,7.2,true
"pl4035676wk1",3,1,"RB","Zack Moss",4035676,0,false
"pl12483wk1",3,1,"QB","Matthew Stafford",12483,30.34,true
"pl4040655wk1",3,1,"WR","Darnell Mooney",4040655,5.1,false
"pl2573401wk1",3,1,"TE","Tyler Higbee",2573401,9.3,false
"pl4241475wk1",3,1,"WR","Henry Ruggs III",4241475,5.6,false
"pl15920wk1",3,1,"RB","Latavius Murray",15920,8.8,false
"pl-16017wk1",3,1,"D/ST","Patriots D/ST",-16017,7,true
"pl2969939wk1",3,1,"QB","Jameis Winston",2969939,39.62,false
"pl4241457wk1",4,1,"RB","Najee Harris",4241457,5.4,true
"pl2576925wk1",4,1,"TE","Darren Waller",2576925,21.5,true
"pl3116165wk1",4,1,"WR","Chris Godwin",3116165,19,true
"pl2977187wk1",4,1,"WR","Cooper Kupp",2977187,20.3,true
"pl3025433wk1",4,1,"RB","Mike Davis",3025433,8.7,true
"pl4035538wk1",4,1,"RB","David Montgomery",4035538,18.3,true
"pl3917315wk1",4,1,"QB","Kyler Murray",3917315,41.56,true
"pl16733wk1",4,1,"WR","Odell Beckham Jr.",16733,0,true
"pl4241478wk1",4,1,"WR","DeVonta Smith",4241478,16.1,false
"pl3115364wk1",4,1,"RB","Leonard Fournette",3115364,8.4,false
"pl3121023wk1",4,1,"TE","Dallas Goedert",3121023,12.2,false
"pl3045138wk1",4,1,"WR","Mike Williams",3045138,18.2,false
"pl3115378wk1",4,1,"WR","Russell Gage",3115378,0,false
"pl2330wk1",4,1,"QB","Tom Brady",2330,35.16,false
"pl-16029wk1",4,1,"D/ST","Panthers D/ST",-16029,11,true
"pl2587819wk1",4,1,"WR","Tyrell Williams",2587819,2.4,false
"pl3117251wk1",5,1,"RB","Christian McCaffrey",3117251,23.2,true
"pl16799wk1",5,1,"WR","Allen Robinson II",16799,6.5,true
"pl14881wk1",5,1,"QB","Russell Wilson",14881,35.06,true
"pl13229wk1",5,1,"TE","Rob Gronkowski",13229,25,true
"pl3043078wk1",5,1,"RB","Derrick Henry",3043078,9.2,true
"pl4046692wk1",5,1,"WR","Chase Claypool",4046692,8.5,true
"pl3119195wk1",5,1,"RB","Chase Edmonds",3119195,12.6,true
"pl4040715wk1",5,1,"QB","Jalen Hurts",4040715,34.76,false
"pl-16023wk1",5,1,"D/ST","Steelers D/ST",-16023,13,true
"pl16731wk1",5,1,"WR","Brandin Cooks",16731,15.7,false
"pl2980453wk1",5,1,"RB","Jamaal Williams",2980453,21,false
"pl4035004wk1",5,1,"WR","Mecole Hardman",4035004,3.4,false
"pl4241372wk1",5,1,"WR","Marquise Brown",4241372,16.4,false
"pl3116164wk1",5,1,"TE","Mike Gesicki",3116164,0,false
"pl4569173wk1",5,1,"RB","Rhamondre Stevenson",4569173,-0.4,false
"pl4262921wk1",5,1,"WR","Justin Jefferson",4262921,10.04,true
"pl3051392wk1",6,1,"RB","Ezekiel Elliott",3051392,4.9,true
"pl3919596wk1",6,1,"RB","Chris Carson",3919596,11.2,true
"pl3121422wk1",6,1,"WR","Terry McLaurin",3121422,8.2,true
"pl2577417wk1",6,1,"QB","Dak Prescott",2577417,33.42,true
"pl2577327wk1",6,1,"WR","Tyler Lockett",2577327,24,true
"pl4259545wk1",6,1,"RB","D'Andre Swift",4259545,20.4,false
"pl4239993wk1",6,1,"WR","Tee Higgins",4239993,13.8,true
"pl3128429wk1",6,1,"WR","Courtland Sutton",3128429,1.9,false
"pl2574808wk1",6,1,"WR","Robby Anderson",2574808,12.2,false
"pl3916430wk1",6,1,"RB","Nyheim Hines",3916430,11.2,false
"pl3042778wk1",6,1,"WR","Corey Davis",3042778,24.2,false
"pl2975674wk1",6,1,"TE","Robert Tonyan",2975674,1.8,true
"pl4360310wk1",6,1,"QB","Trevor Lawrence",4360310,25.08,false
"pl-16014wk1",6,1,"D/ST","Rams D/ST",-16014,8,true
"pl4052042wk1",6,1,"RB","James Robinson",4052042,6.9,true
"pl16944wk1",6,1,"RB","Devonta Freeman",16944,0,false
"pl15847wk1",7,1,"TE","Travis Kelce",15847,22.6,true
"pl4242335wk1",7,1,"RB","Jonathan Taylor",4242335,14.6,true
"pl3915416wk1",7,1,"WR","DJ Moore",3915416,12.4,true
"pl13982wk1",7,1,"WR","Julio Jones",13982,4.4,true
"pl4361579wk1",7,1,"RB","Javonte Williams",4361579,4.6,false
"pl2576434wk1",7,1,"RB","Melvin Gordon III",2576434,19.3,true
"pl3045144wk1",7,1,"WR","Tyler Boyd",3045144,4.7,true
"pl3045147wk1",7,1,"RB","James Conner",3045147,5.3,false
"pl3918298wk1",7,1,"QB","Josh Allen",3918298,19.2,true
"pl4243160wk1",7,1,"WR","Laviska Shenault Jr.",4243160,9.4,true
"pl3128721wk1",7,1,"RB","Sony Michel",3128721,0.2,false
"pl3052117wk1",7,1,"RB","Phillip Lindsay",3052117,8.5,false
"pl16913wk1",7,1,"RB","James White",16913,9.1,false
